observation,policy,seed,transitions,mean_reward,fruit_rate,wall_rate,self_bite_rate,win_rate,mean_length
full,random,100,64000,-0.01434531273250468,0.01728125,0.197796875,0.01603125,0.0,1.0673125
full,random,101,64000,-0.014482812802540138,0.0168125,0.198296875,0.015296875,0.0,1.065171875
full,random,102,64000,-0.014581250321702101,0.0178125,0.20253125,0.016171875,0.0,1.071640625
full,A2C stochastic,100,64000,0.12463906145095825,0.282828125,0.001625,0.0830625,0.0,3.7945
full,A2C stochastic,101,64000,0.1241937487795949,0.28290625,0.00109375,0.08575,0.0,3.684703125
full,A2C stochastic,102,64000,0.12412656120955944,0.282140625,0.00146875,0.083984375,0.0,3.772015625
full,A2C greedy,100,64000,0.12272499895095826,0.28134375,0.0181875,0.080640625,0.0,3.897671875
full,A2C greedy,101,64000,0.11827656186558307,0.27484375,0.034296875,0.078578125,0.0,4.013375
full,A2C greedy,102,64000,0.12482656136900186,0.28296875,0.004109375,0.081234375,0.0,3.852625
partial,random,100,64000,-0.01434531273250468,0.01728125,0.197796875,0.01603125,0.0,1.0673125
partial,random,101,64000,-0.014482812802540138,0.0168125,0.198296875,0.015296875,0.0,1.065171875
partial,random,102,64000,-0.014581250321702101,0.0178125,0.20253125,0.016171875,0.0,1.071640625
partial,A2C stochastic,100,64000,0.11807187476940453,0.25884375,0.00021875,0.056640625,0.0,6.017640625
partial,A2C stochastic,101,64000,0.11784374958649278,0.258,0.000125,0.05571875,0.0,6.0266875
partial,A2C stochastic,102,64000,0.1177171869650483,0.258390625,9.375e-05,0.05734375,0.0,6.029421875
partial,A2C greedy,100,64000,0.11814687447622418,0.2590625,0.0,0.056921875,0.0,6.065796875
partial,A2C greedy,101,64000,0.11757031195610762,0.258046875,0.0,0.057265625,0.0,6.138625
partial,A2C greedy,102,64000,0.11774062451347708,0.2576875,0.0,0.055515625,0.0,6.111734375
